,,CPU,,,,Net Read KBPS,,,,Net Write KBPS,,,,Disk Read KBPS,,,,Disk Write KBPS,
,Mode A,Mode B,Mode C,,Mode A,Mode B,Mode C,,Mode A,Mode B,Mode C,,Mode A,Mode B,Mode C,,Mode A,Mode B,Mode C
25,21,20,20,25,2,2,2,25,0,0,0,25,579,551,551,25,1702,246,16
25,1,21,1,25,0,68,0,25,0,1770,0,25,259,4135,0,25,13,1179,6
25,29,43,8,25,48,150,1,25,1124,3865,0,25,4074,1828,515,25,87,3218,15
25,39,41,62,25,72,152,75,25,1787,3964,1846,25,1556,1501,6301,25,2364,1246,3659
25,37,32,33,25,69,134,65,25,1659,3308,1518,25,1337,1228,1225,25,196,544,187
25,31,27,31,25,66,135,63,25,1551,3329,1461,25,4370,1004,1134,25,803,2039,296
25,35,23,31,25,71,130,66,25,1755,3182,1534,25,1178,1060,1136,25,6608,4968,6659
25,27,22,28,25,69,140,75,25,1685,3516,1860,25,1062,1019,1008,25,1489,2628,2787
25,32,22,30,25,78,136,71,25,2006,3477,1845,25,1037,875,1109,25,1430,1378,2539
25,24,23,26,25,71,139,70,25,1782,3488,1676,25,958,1217,855,25,1445,1070,5927
25,24,23,24,25,71,129,68,25,1739,3126,1636,25,979,945,923,25,1435,1116,2587
25,21,22,22,25,71,134,64,25,1706,3306,1491,25,731,728,1078,25,1508,1340,2402
25,20,21,23,25,70,144,73,25,1697,3584,1814,25,978,771,822,25,990,1082,2823
25,18,22,22,25,70,135,79,25,1685,3291,1950,25,642,749,757,25,1078,1146,1988
25,22,22,21,25,79,139,69,25,1982,3441,1654,25,658,714,751,25,1185,1320,2138
25,22,19,19,25,76,139,69,25,1911,3501,1658,25,980,654,646,25,1024,1065,2033
25,16,19,18,25,70,138,65,25,1738,3369,1496,25,574,590,648,25,941,974,2332
25,17,18,18,25,71,141,69,25,1758,3487,1646,25,514,518,680,25,1058,1182,1813
25,14,17,19,25,63,134,67,25,1495,3260,1574,25,506,593,659,25,974,1096,1843
25,16,18,18,25,64,153,70,25,1496,3948,1663,25,635,498,488,25,1067,805,1733
25,17,17,17,25,68,140,77,25,1687,3457,1920,25,595,533,515,25,737,800,1474
25,15,15,17,25,69,141,70,25,1650,3530,1675,25,453,438,541,25,872,914,1651
25,15,16,17,25,71,131,73,25,1732,3217,1772,25,480,505,477,25,754,716,1531
25,15,17,16,25,67,139,65,25,1570,3429,1509,25,507,546,558,25,732,1554,1752
25,16,15,15,25,69,127,67,25,1635,3055,1568,25,523,408,410,25,914,3187,1514
25,15,15,14,25,78,135,69,25,1983,3320,1648,25,459,509,478,25,637,802,1447
25,15,12,15,25,73,134,69,25,1798,3300,1623,25,379,362,368,25,756,779,1517
25,15,13,15,25,66,137,74,25,1550,3353,1824,25,778,474,588,25,4111,626,1354
25,15,15,14,25,67,131,65,25,1603,3144,1529,25,476,461,408,25,852,806,1174
25,10,15,16,25,70,137,68,25,1694,3368,1628,25,302,450,451,25,648,600,1190
25,15,13,13,25,71,138,64,25,1728,3410,1470,25,349,384,947,25,918,626,1571
25,14,14,13,25,73,153,71,25,1810,3926,1726,25,326,345,322,25,774,688,1136
25,14,14,12,25,74,139,71,25,1835,3394,1737,25,389,365,373,25,506,843,1385
25,12,14,13,25,70,132,70,25,1658,3225,1701,25,275,386,346,25,840,672,1385
25,13,12,12,25,66,142,69,25,1566,3507,1663,25,368,299,266,25,602,663,1119
25,15,11,14,25,71,135,72,25,1714,3317,1805,25,341,290,301,25,705,826,924
25,12,13,12,25,72,127,69,25,1754,3055,1667,25,342,334,296,25,506,577,1211
25,13,12,14,25,74,134,73,25,1810,3254,1800,25,307,298,378,25,552,540,1084
25,13,12,13,25,70,142,70,25,1670,3509,1719,25,294,296,339,25,757,519,942
25,11,11,12,25,71,140,71,25,1724,3483,1777,25,317,261,254,25,560,700,982
25,13,11,12,25,74,142,71,25,1851,3585,1719,25,297,296,274,25,504,513,1300
25,12,14,13,25,64,144,69,25,1515,3566,1652,25,623,358,307,25,599,626,1062
25,13,11,14,25,73,139,72,25,1813,3406,1779,25,318,219,274,25,596,624,4218
